0.995,0.996,0.421,0.744,0.243,0.937,0.721,0.269,0.939,0.767
0.953,0.963,0.374,0.629,0.382,0.827,0.582,0.402,0.830,0.586
0.918,0.915,0.201,0.366,0.392,0.754,0.290,0.538,0.626,0.233
0.868,0.875,0.305,0.485,0.494,0.725,0.399,0.497,0.689,0.392
0.992,0.994,0.415,0.727,0.264,0.924,0.703,0.290,0.927,0.742
1.000,1.000,0.498,0.910,0.059,0.996,0.905,0.076,0.996,0.957
1.000,1.000,0.514,0.931,0.040,0.998,0.927,0.055,0.998,0.972
0.995,0.996,0.421,0.744,0.243,0.937,0.721,0.269,0.939,0.767
0.991,0.993,0.413,0.720,0.273,0.918,0.694,0.298,0.921,0.732
0.953,0.963,0.374,0.629,0.382,0.827,0.582,0.402,0.830,0.586
0.991,0.993,0.413,0.721,0.272,0.919,0.696,0.297,0.922,0.733
0.946,0.957,0.369,0.620,0.391,0.817,0.569,0.411,0.819,0.571
1.000,1.000,0.490,0.899,0.069,0.995,0.894,0.088,0.995,0.948
0.959,0.968,0.378,0.639,0.373,0.837,0.596,0.393,0.841,0.602
0.950,0.960,0.373,0.626,0.385,0.823,0.577,0.405,0.826,0.581
0.865,0.871,0.305,0.481,0.495,0.722,0.396,0.497,0.685,0.388
0.973,0.972,0.076,0.203,0.196,0.812,0.146,0.594,0.533,0.083
1.000,1.000,0.997,1.000,0.000,1.000,0.999,0.000,1.000,1.000
1.000,1.000,0.997,1.000,0.000,1.000,0.999,0.000,1.000,1.000
1.000,1.000,0.997,1.000,0.000,1.000,0.999,0.000,1.000,1.000
0.920,0.917,0.201,0.369,0.397,0.758,0.292,0.536,0.632,0.236
0.968,0.966,0.090,0.227,0.224,0.805,0.165,0.584,0.551,0.100
0.980,0.979,0.048,0.143,0.129,0.813,0.106,0.629,0.453,0.048
0.943,0.940,0.142,0.293,0.301,0.771,0.226,0.563,0.578,0.158
0.993,0.995,0.418,0.736,0.253,0.930,0.712,0.279,0.933,0.755
0.939,0.937,0.148,0.300,0.309,0.767,0.232,0.561,0.581,0.165
0.868,0.874,0.304,0.483,0.494,0.725,0.396,0.497,0.688,0.389
0.878,0.881,0.290,0.467,0.497,0.734,0.381,0.502,0.688,0.371
0.919,0.916,0.200,0.365,0.391,0.755,0.290,0.538,0.627,0.232
0.972,0.970,0.080,0.212,0.206,0.811,0.152,0.589,0.542,0.089
0.986,0.985,0.026,0.084,0.063,0.805,0.064,0.674,0.327,0.022
0.995,0.995,0.010,0.043,0.026,0.848,0.029,0.741,0.238,0.007
0.982,0.981,0.044,0.133,0.118,0.815,0.098,0.635,0.440,0.042
0.941,0.939,0.145,0.296,0.305,0.769,0.228,0.562,0.579,0.161
0.969,0.968,0.087,0.223,0.219,0.807,0.161,0.585,0.549,0.097
0.972,0.970,0.081,0.212,0.206,0.810,0.153,0.590,0.540,0.089
0.981,0.980,0.047,0.142,0.128,0.817,0.104,0.629,0.457,0.047
0.990,0.992,0.413,0.717,0.276,0.915,0.691,0.301,0.918,0.728
0.939,0.937,0.149,0.301,0.311,0.767,0.233,0.561,0.582,0.166
0.923,0.920,0.192,0.358,0.382,0.759,0.282,0.540,0.624,0.223
0.945,0.943,0.137,0.287,0.294,0.774,0.220,0.565,0.576,0.152
0.871,0.878,0.301,0.483,0.494,0.729,0.395,0.497,0.691,0.388
0.921,0.918,0.199,0.367,0.394,0.758,0.289,0.537,0.631,0.233
0.922,0.919,0.195,0.361,0.387,0.758,0.285,0.539,0.627,0.227
0.995,0.995,0.010,0.043,0.026,0.848,0.029,0.741,0.237,0.007
0.981,0.980,0.044,0.132,0.116,0.812,0.098,0.637,0.435,0.042
0.945,0.942,0.138,0.289,0.296,0.773,0.222,0.565,0.576,0.154
0.971,0.969,0.085,0.221,0.217,0.811,0.158,0.585,0.552,0.095
0.980,0.979,0.050,0.146,0.132,0.814,0.107,0.626,0.460,0.049
0.981,0.980,0.046,0.138,0.123,0.813,0.102,0.633,0.445,0.045
0.987,0.986,0.026,0.081,0.061,0.807,0.062,0.677,0.323,0.021
0.921,0.918,0.199,0.367,0.393,0.759,0.289,0.537,0.632,0.233
0.973,0.971,0.078,0.208,0.202,0.812,0.149,0.591,0.538,0.086
0.974,0.973,0.075,0.204,0.197,0.816,0.145,0.592,0.539,0.083
0.882,0.885,0.287,0.469,0.496,0.738,0.380,0.500,0.692,0.371
0.922,0.919,0.192,0.357,0.380,0.757,0.282,0.541,0.622,0.223
0.940,0.952,0.368,0.613,0.397,0.809,0.560,0.416,0.810,0.561
1.000,1.000,0.516,0.933,0.038,0.998,0.929,0.052,0.998,0.973
0.981,0.980,0.044,0.131,0.115,0.810,0.098,0.638,0.430,0.042
0.918,0.915,0.202,0.367,0.393,0.754,0.291,0.538,0.627,0.234
0.920,0.917,0.191,0.352,0.374,0.753,0.280,0.543,0.614,0.219
0.877,0.879,0.289,0.464,0.496,0.734,0.379,0.505,0.684,0.368
0.939,0.936,0.149,0.301,0.311,0.766,0.233,0.561,0.580,0.166
0.970,0.968,0.085,0.219,0.215,0.808,0.158,0.587,0.546,0.094
0.919,0.917,0.193,0.354,0.376,0.753,0.282,0.542,0.615,0.221
0.944,0.942,0.139,0.289,0.297,0.772,0.222,0.565,0.576,0.154
0.981,0.979,0.049,0.147,0.133,0.816,0.107,0.626,0.463,0.049
0.981,0.980,0.046,0.138,0.123,0.815,0.101,0.632,0.448,0.045
0.987,0.986,0.026,0.082,0.062,0.807,0.063,0.676,0.325,0.021
0.942,0.953,0.369,0.615,0.395,0.811,0.563,0.415,0.813,0.564
0.878,0.881,0.289,0.465,0.496,0.735,0.380,0.503,0.686,0.369
0.970,0.969,0.083,0.214,0.209,0.808,0.155,0.589,0.541,0.091
0.981,0.980,0.045,0.135,0.119,0.811,0.100,0.635,0.438,0.043
0.868,0.874,0.304,0.483,0.494,0.725,0.396,0.497,0.689,0.389
0.877,0.881,0.290,0.468,0.497,0.734,0.382,0.501,0.688,0.372
0.878,0.881,0.289,0.467,0.497,0.734,0.381,0.502,0.688,0.371
0.921,0.919,0.192,0.355,0.378,0.756,0.282,0.542,0.619,0.221
0.881,0.883,0.286,0.461,0.495,0.739,0.376,0.506,0.685,0.364
0.945,0.942,0.138,0.289,0.296,0.773,0.222,0.565,0.576,0.154
0.872,0.877,0.297,0.477,0.496,0.729,0.390,0.498,0.689,0.382
0.920,0.917,0.195,0.358,0.382,0.754,0.284,0.541,0.620,0.225
0.921,0.918,0.192,0.355,0.377,0.754,0.282,0.542,0.617,0.221
0.969,0.968,0.086,0.220,0.216,0.806,0.160,0.586,0.546,0.095
0.982,0.980,0.047,0.141,0.126,0.817,0.103,0.630,0.454,0.046
0.988,0.987,0.024,0.077,0.057,0.810,0.059,0.682,0.316,0.019
0.995,0.995,0.009,0.040,0.024,0.853,0.027,0.747,0.230,0.006
0.945,0.943,0.137,0.287,0.294,0.774,0.220,0.565,0.575,0.152
0.982,0.981,0.045,0.137,0.122,0.816,0.100,0.633,0.446,0.044
0.880,0.883,0.288,0.466,0.496,0.737,0.379,0.502,0.689,0.369
0.922,0.919,0.192,0.356,0.379,0.756,0.282,0.541,0.621,0.222
0.985,0.985,0.028,0.086,0.066,0.803,0.066,0.672,0.330,0.023
0.969,0.968,0.086,0.222,0.218,0.807,0.160,0.586,0.548,0.096
0.981,0.980,0.047,0.141,0.126,0.816,0.103,0.630,0.454,0.046
0.881,0.884,0.287,0.466,0.496,0.738,0.378,0.502,0.689,0.368
0.940,0.937,0.148,0.300,0.310,0.767,0.232,0.561,0.582,0.165
0.971,0.969,0.084,0.219,0.214,0.809,0.158,0.586,0.548,0.094
0.922,0.919,0.192,0.356,0.379,0.756,0.282,0.541,0.620,0.222
0.990,0.993,0.413,0.718,0.275,0.916,0.693,0.300,0.919,0.729
0.989,0.991,0.411,0.712,0.283,0.910,0.685,0.308,0.914,0.720
0.922,0.919,0.199,0.367,0.394,0.760,0.289,0.536,0.633,0.233
1.000,1.000,0.515,0.932,0.039,0.998,0.928,0.054,0.998,0.972
0.920,0.917,0.196,0.360,0.384,0.755,0.286,0.540,0.623,0.227
0.995,0.995,0.010,0.041,0.025,0.850,0.028,0.744,0.233,0.007
0.968,0.967,0.089,0.224,0.221,0.805,0.163,0.585,0.549,0.098
0.980,0.979,0.048,0.142,0.127,0.812,0.105,0.630,0.450,0.047
0.944,0.942,0.139,0.290,0.297,0.772,0.222,0.565,0.576,0.155
0.946,0.957,0.371,0.621,0.390,0.817,0.571,0.410,0.819,0.573
